"","modalite","site","ET_diff_autochor","mean_diff_autochor","ET_diff_zoochor","mean_diff_zoochor","ET_diff_hemerochor","mean_diff_hemerochor","ET_diff_anemochor","mean_diff_anemochor","ET_diff_meteorochor","mean_diff_meteorochor","ET_diff_barrochor","mean_diff_barrochor","année"
"1","enclos_exclos","TF",0.189959435647082,0.154513888888889,0.132365152585635,-0.0353535353535354,0.413827991965553,-0.306407828282828,0.519637761545637,0.187247474747475,0,0,0,0,2016
"2","enclos_exclos","TF",NA,0.61,NA,-0.09,NA,-0.57,NA,0.04,NA,0,NA,0,2017
"3","enclos_exclos","Arc",0.300222139978605,-0.173333333333333,0.14422205101856,0.16,0.151767365837763,0.136666666666667,0.336452076825214,-0.12,0,0,0,0,2017
"4","exclos_selectif sanglier","Arc",0.0288675134594813,-0.0166666666666667,0.37589892258425,-0.14,0.211266025033211,0.0266666666666667,0.332615894589139,0.126666666666667,0,0,0,0,2017
"5","exclos_selectif chevreuil","Arc",0.127017059221718,0.0733333333333333,0.199749843554382,-0.2,0.370720020140986,-0.243333333333333,0.540401085614503,0.376666666666667,0,0,0,0,2017
"6","exclos_selectif cerf","Arc",0.292631736715848,0.00666666666666665,0.237135685491099,0.0666666666666667,0.341955162752858,-0.166666666666667,0.175594229214212,0.0966666666666667,0,0,0,0,2017
"7","exclos_selectif cerf","Arc",0.06,-0.09,0.24,0.16,0.09,-0.07,0.21,-0.01,0,0,0,0,2018
"8","exclos_selectif chevreuil","Arc",0.14,0.07,0.08,0.12,0.3,-0.3,0.25,0.11,0,0,0,0,2018
"9","exclos_selectif sanglier","Arc",0.19,-0.03,0.45,-0.09,0.12,0.03,0.23,0.1,0,0,0,0,2018
"10","enclos_exclos","Arc",NA,-0.04,NA,-0.34,NA,0.04,NA,0.33,NA,0,NA,0,2018
"11","enclos_exclos","TF",0.61,0.26,0.59,-0.17,0.14,-0.12,0.12,0.02,0,0,0,0,2018
"12","enclos_exclos","TF",0.19,0.26,0.16,-0.17,0.22,-0.1,0.2,0.01,0,0,0,0,2019
"13","enclos_exclos","Arc",0.03,0.06,0.23,-0.16,0.1,0.04,0.21,0.07,0,0,0,0,2019
"14","exclos_selectif sanglier","Arc",0.11,-0.04,0.32,-0.18,0.11,-0.07,0.13,0.29,0,0,0,0,2019
"15","exclos_selectif chevreuil","Arc",0.16,0.27,0.15,-0.05,0.08,-0.11,0.16,-0.11,0,0,0,0,2019
"16","exclos_selectif cerf","Arc",0.16,-0.02,0.09,0.02,0.05,0.03,0.1,-0.03,0,0,0,0,2019
"17","exclos_selectif cerf","Arc",0.08,-0.07,0.09,-0.03,0.17,0.09,0.17,0.01,0,0,0,0,2020
"18","exclos_selectif chevreuil","Arc",0.06,0.13,0.22,-0.11,0.05,-0.02,0.15,-0.01,0,0,0,0,2020
"19","exclos_selectif sanglier","Arc",0.13,-0.08,0.27,-0.12,0.05,0.11,0.11,0.09,0,0,0,0,2020
"20","enclos_exclos","Arc",0.08,0.02,0.15,-0.08,0.05,0.01,0.18,0.06,0,0,0,0,2020
"21","enclos_exclos","TF",0.09,-0.04,0.1,0,0.04,0,0.16,0.04,0,0,0,0,2021
"22","enclos_exclos","Arc",0.06,0.03,0.19,0.22,0.16,-0.22,0.04,-0.03,0,0,0,0,2021
"23","exclos_selectif sanglier","Arc",0.08,0.07,0.12,0.17,0.28,-0.12,0.25,-0.12,0,0,0,0,2021
"24","exclos_selectif chevreuil","Arc",0.01,0,0.24,0.13,0.17,-0.04,0.08,-0.09,0,0,0,0,2021
"25","exclos_selectif cerf","Arc",0.04,0.03,0.33,-0.1,0.03,-0.02,0.33,0.09,0,0,0,0,2021
"26","exclos_selectif cerf","Arc",0.05,-0.03,0.06,-0.01,0.13,0.16,0.22,-0.13,0,0,0,0,2022
"27","exclos_selectif chevreuil","Arc",0.02,-0.02,0.26,0.03,0.09,0.06,0.18,-0.07,0,0,0,0,2022
"28","exclos_selectif sanglier","Arc",0.05,0.03,0.29,-0.13,0.1,0,0.24,0.1,0,0,0,0,2022
"29","enclos_exclos","Arc",0.07,0.04,0.25,-0.13,0.07,0.08,0.29,0,0,0,0,0,2022
"30","enclos_exclos","TF",0.12,0.15,0.23,-0.17,0.3,-0.23,0.06,0.24,0,0,0,0,2022
