"","modalite","site","ET_diff_lumiere","mean_diff_lumiere","ET_diff_tolerante","mean_diff_tolerante","ET_diff_ombre","mean_diff_ombre","année"
"1","enclos_exclos","TF",0,0,1.15470053837925,0,NA,0.25,2016
"2","enclos_exclos","TF",0,0,0,0,NA,0,2017
"3","enclos_exclos","Arc",NA,NA,NA,1,NA,NA,2017
"4","exclos_selectif chevreuil","Arc",NA,NA,NA,0,NA,NA,2017
"5","exclos_selectif sanglier","Arc",NA,0,NA,-1,NA,0,2017
"6","exclos_selectif cerf","Arc",NA,NA,NA,NA,NA,NA,2017
"7","exclos_selectif cerf","Arc",0,0,0,0,NA,0,2018
"8","exclos_selectif sanglier","Arc",0.288675134594813,0.166666666666667,0,0,NA,0,2018
"9","exclos_selectif chevreuil","Arc",0.353553390593274,0.25,0.353553390593274,0.25,NA,0,2018
"10","enclos_exclos","Arc",NA,0,NA,0,NA,0,2018
"11","enclos_exclos","TF",0,0,0.5,-0.25,NA,0,2018
"12","enclos_exclos","TF",0,0,0.629152869605896,-0.125,NA,0.125,2019
"13","enclos_exclos","Arc",0.709459888459759,-0.133333333333333,1.00166528008778,0.133333333333333,NA,0,2019
"14","exclos_selectif chevreuil","Arc",0.112731243820572,0.508333333333333,0.581126779053705,0.158333333333333,NA,0,2019
"15","exclos_selectif cerf","Arc",0.756147643823122,0.305555555555556,0.458964212273842,0.0277777777777778,NA,0,2019
"16","exclos_selectif sanglier","Arc",0.63098981620003,0.277777777777778,0.787635937708768,-0.111111111111111,NA,0.166666666666667,2019
"17","exclos_selectif sanglier","Arc",0.434211129072866,-0.115079365079365,0.434211129072866,0.115079365079365,NA,0,2020
"18","exclos_selectif chevreuil","Arc",0.193284114854733,0.226587301587302,0.193284114854733,-0.226587301587302,NA,0,2020
"19","exclos_selectif cerf","Arc",0.0685122619766145,0.0787037037037037,0.0685122619766146,-0.0787037037037037,NA,0,2020
"20","enclos_exclos","Arc",0.358996457921989,-0.082972582972583,0.358996457921989,0.082972582972583,NA,0,2020
"21","enclos_exclos","Arc",0,0,0.203692697689002,0.190643274853801,NA,-0.190643274853801,2021
"22","enclos_exclos","TF",0,0,0.5,-0.25,NA,0,2021
"23","exclos_selectif sanglier","Arc",0,0,0.525550857390323,0.261111111111111,NA,-0.261111111111111,2021
"24","exclos_selectif chevreuil","Arc",0,0,0.0430775810839192,-0.047979797979798,NA,0.047979797979798,2021
"25","exclos_selectif cerf","Arc",0,0,0.877971146071062,0.0833333333333333,NA,0.25,2021
"26","exclos_selectif cerf","Arc",0.325525848726795,-0.12962962962963,0.262545312569589,-0.203703703703704,NA,0,2022
"27","exclos_selectif sanglier","Arc",0,0,0,0,NA,0,2022
"28","exclos_selectif chevreuil","Arc",0.0721687836487032,0.0416666666666667,0.544862367942584,-0.375,NA,0,2022
"29","enclos_exclos","Arc",0.0962250448649376,0.0555555555555556,0.0962250448649376,-0.0555555555555555,NA,0,2022
"30","enclos_exclos","TF",0,0,0.853912563829966,0.125,NA,-0.125,2022
