"","modalite","site","ET_diff_mean_shannon","diff_mean_shannon","année"
"1","enclos_exclos","TF",0.1,-0.02,2016
"2","exclos_selectif sanglier","Arc",0.16,0.06,2017
"3","exclos_selectif cerf","Arc",0.09,0.1,2017
"4","exclos_selectif chevreuil","Arc",0.15,-0.08,2017
"5","enclos_exclos","Arc",0.35,0.16,2017
"6","enclos_exclos","TF",0.15,0.01,2017
"7","enclos_exclos","TF",0.09,0.2,2018
"8","enclos_exclos","Arc",NA,0.34,2018
"9","exclos_selectif cerf","Arc",0.1,0,2018
"10","exclos_selectif chevreuil","Arc",0.01,0.28,2018
"11","exclos_selectif sanglier","Arc",0.18,0,2018
"18","exclos_selectif sanglier","Arc",0.15,0.18,2019
"19","exclos_selectif chevreuil","Arc",0.02,0.12,2019
"20","exclos_selectif cerf","Arc",0.16,-0.02,2019
"21","enclos_exclos","Arc",0.34,0.11,2019
"22","enclos_exclos","TF",0.09,0.02,2019
"12","enclos_exclos","Arc",0.2,0.21,2020
"23","exclos_selectif chevreuil","Arc",0.03,-0.05,2020
"31","exclos_selectif cerf","Arc",0.12,0.04,2020
"41","exclos_selectif sanglier","Arc",0.15,0,2020
"13","exclos_selectif sanglier","Arc",0.35,-0.17,2021
"24","exclos_selectif chevreuil","Arc",0.23,-0.09,2021
"32","exclos_selectif cerf","Arc",0.03,-0.01,2021
"42","enclos_exclos","Arc",0.09,-0.16,2021
"51","enclos_exclos","TF",0.05,-0.01,2021
"14","enclos_exclos","TF",0.13,0.05,2022
"25","enclos_exclos","Arc",0.29,0.05,2022
"33","exclos_selectif chevreuil","Arc",0.21,0.15,2022
"43","exclos_selectif cerf","Arc",0.05,-0.05,2022
"52","exclos_selectif sanglier","Arc",0.04,0.07,2022
